Application,Dependency,Old version,Applied Version,Repository,Type
A1,spring-cloud-starter-openfeign,3.0.2,4.1.4,Ativo,MAJOR
A1,spring-boot-starter,2.4.5,3.3.7,Ativo,MAJOR
A1,commons-io,2.5,2.14.0,Ativo,MINOR
A1,HikariCP,3.2.0,3.2.2,Ativo,PATCH
A1,gson,2.7,2.8.9,Ativo,MINOR
A1,groovy-all,2.4.10,2.4.21,Ativo,PATCH
A1,xmlsec,2.0.8,2.2.6,Ativo,MINOR
A1,commons-lang3,3,3.0.1,Ativo,PATCH
A2,spring-cloud-starter-openfeign,3.0.2,4.1.4,FCI,MAJOR
A2,spring-boot-starter,2.4.5,3.3.7,FCI,MAJOR
A2,commons-io,2.5,2.14.0,FCI,MINOR
A2,gson,2.7,2.8.9,FCI,MINOR
A2,groovy-all,2.4.10,2.4.21,FCI,PATCH
A2,xmlsec,2.0.8,2.2.6,FCI,MINOR
A2,commons-lang3,3,3.0.1,FCI,PATCH
A3,spring-cloud-starter-openfeign,3.0.2,4.1.4,CIAP,MAJOR
A3,spring-boot-starter,2.4.5,3.3.7,CIAP,MAJOR
A3,commons-io,2.5,2.14.0,CIAP,MINOR
A3,gson,2.7,2.8.9,CIAP,MINOR
A3,groovy-all,2.4.10,2.4.21,CIAP,PATCH
A3,xmlsec,2.0.8,2.2.6,CIAP,MINOR
A3,commons-lang3,3,3.0.1,CIAP,PATCH
A3,opencsv,5.3,5.7.1,CIAP,MINOR
A4,spring-cloud-starter-openfeign,3.0.2,4.1.4,CONTAB,MAJOR
A4,spring-boot-starter,2.4.5,3.3.7,CONTAB,MAJOR
A4,commons-io,2.5,2.14.0,CONTAB,MINOR
A4,gson,2.7,2.8.9,CONTAB,MINOR
A4,groovy-all,2.4.10,2.4.21,CONTAB,MINOR
A4,xmlsec,2.0.8,2.2.6,CONTAB,MINOR
A4,commons-lang3,3,3.0.1,CONTAB,PATCH
A5,spring-boot-starter,2.4.5,3.3.7,EMIF,MAJOR
A5,gson,2.7,2.8.9,EMIF,MINOR
A5,groovy-all,2.4.10,2.4.21,EMIF,PATCH
A5,xmlsec,2.0.8,2.2.6,EMIF,MINOR
A5,commons-io,2.5,2.14.0,EMIF,MINOR
A5,spring-cloud-starter-openfeign,3.0.2,3.1.9,EMIF,MINOR
A5,pdfbox,2.0.20,2.0.24,EMIF,PATCH
A5,minio,8.1.0,8.5.06,EMIF,MINOR
A6,guava,16.0.1,32.0.1-jre,PCO,MAJOR
A6,spring-boot-starter,2.4.5,3.3.7,PCO,MAJOR
A6,gson,2.7,2.8.9,PCO,MINOR
A6,groovy-all,2.4.10,2.4.21,PCO,PATCH
A6,xmlsec,2.0.8,2.2.6,PCO,MINOR
A6,commons-io,2.13.0,2.14.0,PCO,MINOR
A6,spring-cloud-starter-openfeign,2.1.0.RELEASE,4.1.4,PCO,MAJOR
A6,commons-lang3,3,3.0.1,PCO,PATCH
A6,poi-ooxml,5.2.3,5.3.0,PCO,MINOR
A7,spring-cloud-starter-openfeign,3.0.2,4.1.4,RECUP-ST,MAJOR
A7,spring-boot-starter,2.4.5,3.3.8,RECUP-ST,MAJOR
A7,commons-io,2.5,2.14.0,RECUP-ST,MINOR
A7,gson,2.7,2.8.9,RECUP-ST,MINOR
A7,groovy-all,2.4.10,2.4.21,RECUP-ST,PATCH
A7,xmlsec,2.0.8,2.2.6,RECUP-ST,MINOR
A8,spring-cloud-starter-openfeign,2.1.0.RELEASE,3.1.9,EXPERT,MINOR
A8,spring-boot-starter,2.1.1.RELEASE,3.3.8,EXPERT,MAJOR
A8,commons-io,2.5,2.14.0,EXPERT,MINOR
A8,gson,2.7,2.8.9,EXPERT,MINOR
A8,groovy-all,2.4.10,2.4.21,EXPERT,PATCH
A8,xmlsec,2.0.8,2.2.6,EXPERT,MINOR
A9,spring-cloud-starter-openfeign,3.0.2,4.1.4,ICMS-IPI,MAJOR
A9,spring-boot-starter,2.4.5,3.3.8,ICMS-IPI,MAJOR
A9,commons-io,2.5,2.14.0,ICMS-IPI,PATCH
A9,gson,2.7,2.8.9,ICMS-IPI,MINOR
A9,groovy-all,2.4.10,2.4.21,ICMS-IPI,PATCH
A9,xmlsec,2.0.8,2.2.6,ICMS-IPI,MINOR
A9,opencsv,5.3,5.7.1,ICMS-IPI,MINOR
A9,minio,8.3.4,8.5.06,ICMS-IPI,MINOR
A9,okhttp,4.9.1,4.12.0,ICMS-IPI,MINOR
A9,redisson,3.8.0,3.11.6,ICMS-IPI,MINOR
A10,spring-cloud-starter-openfeign,3.0.2,4.1.4,INTEGRACOES,MAJOR
A10,spring-boot-starter,2.4.5,3.3.8,INTEGRACOES,MAJOR
A10,commons-io,2.5,2.14.0,INTEGRACOES,MINOR
A10,gson,2.7,2.8.9,INTEGRACOES,MINOR
A10,xmlsec,2.0.8,2.2.6,INTEGRACOES,MINOR
A10,opencsv,5.3,5.7.1,INTEGRACOES,MINOR
A10,redisson,3.8.0,3.11.6,INTEGRACOES,MINOR
A10,minio,8.3.4,8.5.06,INTEGRACOES,MINOR
A10,okhttp,4.9.1,4.12.0,INTEGRACOES,MINOR
A11,spring-cloud-starter-openfeign,2.1.0.RELEASE,3.1.9,OPECON,MINOR
A11,spring-boot-starter,2.1.1.RELEASE,3.3.8,OPECON,MAJOR
A11,commons-io,2.5,2.14.0,OPECON,MINOR
A11,gson,2.7,2.8.9,OPECON,MINOR
A11,groovy-all,2.4.10,2.4.21,OPECON,PATCH
A11,xmlsec,2.0.8,2.2.6,OPECON,MINOR
A11,commons-lang3,3,3.0.1,OPECON,PATCH
A12,spring-cloud-starter-openfeign,2.1.0.RELEASE,3.1.9,TRIBUTOS-FEDERAIS,MINOR
A12,spring-boot-starter,2.1.1.RELEASE,3.3.8,TRIBUTOS-FEDERAIS,MAJOR
A12,commons-io,2.5,2.14.0,TRIBUTOS-FEDERAIS,MINOR
A12,gson,2.7,2.8.9,TRIBUTOS-FEDERAIS,MINOR
A12,groovy-all,2.4.10,2.4.21,TRIBUTOS-FEDERAIS,PATCH
A12,xmlsec,2.0.8,2.2.6,TRIBUTOS-FEDERAIS,MINOR
A13,spring-cloud-starter-openfeign,3.0.2,4.1.4,ISS,MAJOR
A13,spring-boot-starter,2.4.5,3.3.8,ISS,MAJOR
A13,commons-io,2.5,2.14.0,ISS,MINOR
A13,gson,2.7,2.8.9,ISS,MINOR
A13,groovy-all,2.4.10,2.4.21,ISS,PATCH
A13,xmlsec,2.0.8,2.2.6,ISS,MINOR
A13,guava,16.0.1,32.0.1-jre,ISS,MAJOR
A14,guava,16.0.1,32.0.1-jre,CORPORATIVO,MAJOR
A14,spring-boot-starter,2.1.1.RELEASE,3.3.8,CORPORATIVO,MAJOR
A14,gson,2.7,2.8.9,CORPORATIVO,MINOR
A14,groovy-all,2.4.10,2.4.21,CORPORATIVO,PATCH
A14,xmlsec,2.0.8,2.2.6,CORPORATIVO,MINOR
A14,commons-io,2.5,2.14.0,CORPORATIVO,MINOR
A14,spring-cloud-starter-openfeign,2.1.0.RELEASE,3.1.9,CORPORATIVO,MINOR
A14,springdoc-openapi-common,1.6.15,1.8.0,CORPORATIVO,MINOR
A14,opencsv,5.3,5.7.1,CORPORATIVO,MINOR
A15,spring-boot-starter-actuator,3.0.4,3.3.8,INTEGRATION-API,MINOR
A15,spring-boot-starter-data-jpa,3.0.4,3.0.8,INTEGRATION-API,PATCH
A15,spring-boot-starter-web,3.0.4,3.3.8,INTEGRATION-API,MINOR
A15,spring-cloud-starter-bus-amqp,4.0.1,4.1.3,INTEGRATION-API,MINOR
A15,spring-cloud-starter-config,4.0.1,4.1.4,INTEGRATION-API,MINOR
A15,spring-boot-starter-hateoas,3.0.4,3.0.8,INTEGRATION-API,PATCH
A15,minio,8.3.9,8.5.10,INTEGRATION-API,MINOR
A15,okhttp,4.9.3,4.12.0,INTEGRATION-API,MINOR
A15,liquibase-core,4.17.2,4.21.0,INTEGRATION-API,MINOR
A15,spring-boot-starter-test,3.0.4,3.0.8,INTEGRATION-API,PATCH
A15,opentelemetry-exporter-zipkin,1.22.0,1.31.0,INTEGRATION-API,MINOR
A15,zipkin-sender-amqp-client,2.16.3,2.17.0,INTEGRATION-API,MINOR
A15,springdoc-openapi-starter-webmvc-ui,2.0.2,2.7.0,INTEGRATION-API,MINOR
A15,logstash-logback-encoder,7.2,8,INTEGRATION-API,MAJOR
A16,spring-boot-starter-actuator,3.2.1,3.3.8,INTEGRATION-BACKOFFICE,MINOR
A16,spring-boot-starter-data-jpa,3.2.1,3.3.8,INTEGRATION-BACKOFFICE,MINOR
A16,spring-boot-starter-web,3.2.1,3.3.8,INTEGRATION-BACKOFFICE,MINOR
A16,spring-cloud-starter-config,4.1.0,4.1.4,INTEGRATION-BACKOFFICE,PATCH
A16,spring-boot-starter-hateoas,3.2.1,3.3.8,INTEGRATION-BACKOFFICE,MINOR
A16,minio,8.5.7,8.5.10,INTEGRATION-BACKOFFICE,PATCH
A16,spring-boot-starter-test,3.2.1,3.4.2,INTEGRATION-BACKOFFICE,MINOR
A16,springdoc-openapi-starter-webmvc-ui,2.0.2,2.7.0,INTEGRATION-BACKOFFICE,MINOR
A17,spring-boot-starter-actuator,3.0.5,3.3.8,INTEGRATION-BFF,MINOR
A17,spring-boot-starter-web,3.0.5,3.3.8,INTEGRATION-BFF,MINOR
A17,spring-cloud-starter-config,4.0.1,4.1.4,INTEGRATION-BFF,MINOR
A17,spring-boot-starter-test,3.0.5,3.0.8,INTEGRATION-BFF,PATCH
A17,springdoc-openapi-starter-webmvc-ui,2.0.4,2.7.0,INTEGRATION-BFF,MINOR
A17,spring-cloud-starter-bus-amqp,4.0.1,4.1.3,INTEGRATION-BFF,MINOR
A17,spring-cloud-starter-openfeign,4.0.1,4.1.4,INTEGRATION-BFF,MINOR
A17,opentelemetry-exporter-zipkin,1.22.0,1.31.0,INTEGRATION-BFF,MINOR
A17,zipkin-sender-amqp-client,2.16.3,2.17.0,INTEGRATION-BFF,MINOR
A17,karate-junit5,1.1.0,1.4.1.RC1,INTEGRATION-BFF,MINOR
A17,logstash-logback-encoder,7.2,8,INTEGRATION-BFF,MAJOR
A18,spring-boot-starter-actuator,3.0.4,3.3.8,INTEGRATION-CONFIG,MINOR
A18,spring-boot-starter-web,3.0.4,3.3.8,INTEGRATION-CONFIG,MINOR
A18,spring-cloud-starter-config,4.0.1,4.1.4,INTEGRATION-CONFIG,MINOR
A18,spring-boot-starter-test,3.0.4,3.0.8,INTEGRATION-CONFIG,PATCH
A18,spring-boot-starter-amqp,3.0.4,3.0.8,INTEGRATION-CONFIG,PATCH
A18,spring-rabbit-test,3.0.2,3.1.8,INTEGRATION-CONFIG,MINOR
A18,spring-cloud-starter-bus-amqp,4.0.1,4.1.3,INTEGRATION-CONFIG,MINOR
A18,karate-junit5,1.1.0,1.4.1.RC1,INTEGRATION-CONFIG,MINOR
A19,spring-boot-starter-actuator,3.0.4,3.3.8,INTEGRATION-WORKER,MINOR
A19,spring-cloud-starter-config,4.0.1,4.1.4,INTEGRATION-WORKER,MINOR
A19,spring-boot-starter-test,3.0.4,3.0.8,INTEGRATION-WORKER,PATCH
A19,spring-boot-starter-amqp,3.0.4,3.0.8,INTEGRATION-WORKER,PATCH
A19,logstash-logback-encoder,7.3,8,INTEGRATION-WORKER,MAJOR
A19,maven-checkstyle-plugin,3.2.1,3.3.0,INTEGRATION-WORKER,MINOR
A19,spring-boot-starter-json,3.0.4,3.3.8,INTEGRATION-WORKER,MINOR
A19,spring-boot-starter-jdbc,3.0.4,3.0.8,INTEGRATION-WORKER,PATCH
A19,spring-cloud-starter-bus-amqp,4.0.1,4.1.3,INTEGRATION-WORKER,MINOR
A19,minio,8.5.2,8.5.10,INTEGRATION-WORKER,PATCH
A19,okhttp,4.10.0,4.12.0,INTEGRATION-WORKER,MINOR
A19,spring-rabbit-test,3.0.2,3.1.8,INTEGRATION-WORKER,MINOR
A19,shedlock-spring,5.2.0,6.0.1,INTEGRATION-WORKER,MAJOR
A19,spring-boot-starter,3.0.4,3.3.8,INTEGRATION-WORKER,MINOR
A20,spring-boot-starter-actuator,3.0.2,3.3.8,MOMENTUM,MINOR
A20,spring-boot-starter-web,3.0.2,3.3.8,MOMENTUM,MINOR
A20,spring-cloud-starter-config,4.0.0,4.1.4,MOMENTUM,MINOR
A20,spring-boot-starter-test,3.0.2,3.0.8,MOMENTUM,PATCH
